;Nom;Adresse;Telephone;Site_web;Description;Lieu_proche;Airport;Langue;Avantage;Etoiles
10;Hotel Sofitel Rabat Jardin des Roses;Avenue Imam Malek Impasse Souissi, Rabat 10000 Maroc;null;null;"Vous êtes à la recherche d'un cadre familial et d'une gamme de services conçus pour sublimer votre séjour à Rabat ? Alors le Sofitel Rabat Jardin des Roses vous apportera entière satisfaction.
Agrémentez votre séjour au Sofitel Rabat Jardin Des Roses Hotel d'une visite Chellah (2,4 km) et Assounna Mosque (2,6 km), quelques-unes des meilleures attractions de Rabat.";, Restaurant Golden Fish 1 min, Restaurant Al Warda 1 min, Picolo's 13 min, Amber Bar 1 min, Le Mur 11 min;", Sale Airport10 km
Voir tous les vols";Français, Anglais, Russe, Espagnol et 5 autres;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Petit-déjeuner inclus, Location de vélos, Court de tennis, Babysitting, Rideaux occultants, Chambres insonorisées, Climatisation, Service de ménage, Chambres communicantes disponibles, Cafetière/théière, TV par câble/satellite, Baignoire/douche, Vue sur la ville, Vue sur un monument, Vue sur la piscine, Suite nuptiale, Chambres non-fumeurs, Suites, Chambres familiales;5,0 5 étoiles
11;Ibis Rabat Agdal;Avenue Haj Ahmed Charkaou Place de la Gare, Rabat 10130 Maroc;null;null;null;, Moojood - More Than Food 8 min, l entrecote 12 min, Yoka Sushi 11 min, L'Atelier du Sandwich 12 min, Escape Now Rabat 10 min, Lighthouse Language Center 10 min, Lankey 10 min, Electric Dreams 12 min;", Sale Airport11 km
Voir tous les vols";null;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Internet, Centre de remise en forme/Salle de sport, Bar/lounge, Restaurant, Activités pour les enfants (Enfants/Pour les familles), Service de blanchisserie, Climatisation, Chambres non-fumeurs;3,0 5 étoiles
12;Riad Zyo;5 Rue Moreno legza, Rabat 10000 Maroc;null;null;"Vous êtes à la recherche d'un cadre familial et d'une gamme de services conçus pour sublimer votre séjour à Rabat ? Alors le Riad Zyo vous apportera entière satisfaction.
Grâce à son emplacement tout près des monuments populaires, comme Assounna Mosque (1,5 km) et Russian Orthodox Church (1,9 km), les clients du Riad Zyo pourront facilement profiter des attractions les plus célèbres de Rabat.";, Dinarjat 5 min, Dar Rbatia 2 min, Restaurant Dar Naji 7 min, Restaurant de la Liberation 4 min, Poupées du Monde 6 min, Ancient Walls Medina Rabat 7 min, Les Bienfaits de l'Oasis 5 min, Boutique Serigne - Chez Mbaye Assane 6 min;", Sale Airport8 km
Voir tous les vols";Français, Anglais, Arabe;, Parking dans la rue, Internet haut débit gratuit (Wi-Fi), Piscine, Petit-déjeuner inclus, Navette aéroport, Solarium, Terrasse sur le toit, Concierge, Climatisation, Salle-à-manger, Service de ménage, Coffre-fort, Eau en bouteille, Télévision à écran plat, Produits de toilette gratuits, Sèche-cheveux, Chambres non-fumeurs, Chambres familiales;3,0 5 étoiles
13;Dar El Kebira;Rue des Consuls - 1 Impasse Belghazi Ferran Znaki, Rabat 1005 Maroc;null;null;Dar El Kébira est avant tout un Riad réinventé pour recevoir des hôtes en quête de tranquillité et de bien-être, dans la plus pure des traditions marocaines. Le moindre détail y est conçu pour créer un lieu de vie exprimant le luxe et le raffinement. Dar El Kébira est un bijou de l’architecture arabo-andalouse complètement restauré et aménagé. La privacité des lieux, l’authenticité des matériaux et l’harmonie du décor font du Riad un lieu exceptionnel où chaque hôte devient un client privilégié.;, Dar Zaki 4 min, Dar El Medina 4 min, Dinarjat 3 min, Dar Rbatia 5 min, Kasbah des Oudaias 5 min, Medina de Rabat 4 min, Andalusian Gardens 3 min, Poupées du Monde 3 min;", Sale Airport8 km
Voir tous les vols";Français, Anglais, Arabe;, Parking public payant à proximité, Internet haut débit gratuit (Wi-Fi), Petit-déjeuner inclus, Service de taxi, Spa, Terrasse sur le toit, Consigne, Réception 24 heures sur 24, Rideaux occultants, Chambres insonorisées, Climatisation, Service de ménage, Coffre-fort, Eau en bouteille, TV par câble/satellite, Produits de toilette gratuits, Suite nuptiale, Chambres non-fumeurs, Suites, Chambres familiales;5,0 5 étoiles
14;Hotel Le Diwan Rabat - MGallery;Place de l'Unite Africaine, Rabat 10005 Maroc;null;null;"Vous êtes à la recherche d'un cadre calme et d'une gamme de services conçus pour sublimer votre séjour à Rabat ? Alors l'Hotel Le Diwan - MGallery Collection vous apportera entière satisfaction.
Situés à quelques pas des monuments les plus populaires de Rabat, comme Assounna Mosque (0,7 km) et Russian Orthodox Church (2,3 km), le Rabat Sofitel est une destination de choix pour les touristes.";, Resturant Sufra 6 min, La Brasserie 1 min, Ty Potes 5 min, La Koutoubia 6 min, Bab Chellah 7 min, Atelier 3eme Art 5 min;", Sale Airport7 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe;, Service de voiturier, Internet haut débit gratuit (Wi-Fi), Bar/lounge, Séjour gratuit pour les enfants, Chaînes de télévision pour enfants, Navette aéroport, Centre d'affaires avec accès Internet, Salles de conférence, Rideaux occultants, Chambres insonorisées, Climatisation, Service de ménage, Chambres communicantes disponibles, Minibar, Télévision à écran plat, Baignoire/douche, Vue sur la ville, Vue sur un monument, Suite nuptiale, Chambres non-fumeurs, Chambres familiales, Chambres fumeurs disponibles;4,0 5 étoiles
15;Hôtel la Tour Hassan;26, Avenue Chellah, Rabat 10000 Maroc;null;null;"Découvrez pourquoi l'Hôtel la Tour Hassan est l'hôtel préféré des voyageurs visitant Rabat. Offrant un grand confort et un excellent rapport qualité-prix, il propose un cadre un de luxe et un large éventail de services conçus pour les voyageurs comme vous.
Situé non loin de monuments tels que Assounna Mosque (0,7 km) et Cathedrale Saint-Pierre (3,4 km), le Tour Hassan Hotel est parfait pour découvrir les différentes attractions de Rabat.";, Resturant Sufra 2 min, La Brasserie 4 min, le petit beur 7 min, Ty Potes 4 min, The Currency Museum of the Bank Al-Maghrib 6 min, Bab Chellah 3 min, Jardin Nouzhat Hassan 7 min, Atelier 3eme Art 6 min;", Sale Airport8 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe et 2 autres;, Parking, Internet haut débit gratuit (Wi-Fi), Piscine, Centre de remise en forme/Salle de sport, Bar/lounge, Chaînes de télévision pour enfants, Chaises hautes disponibles, Animaux domestiques autorisés (Chien/Animaux de compagnie), Rideaux occultants, Chambres insonorisées, Climatisation, Service en chambre, Coffre-fort, Cafetière/théière, TV par câble/satellite, Bidet, Vue sur la ville, Vue sur la piscine, Chambres non-fumeurs, Suites, Chambres familiales;5,0 5 étoiles
16;Le Pietri Urban Hotel;4, rue Tobrouk, Rabat 10000 Maroc;null;null;Idéalement situé au cœur du centre ville de Rabat, Le Pietri Urban hôtel*** a été entièrement relooké en 2016. Notre principal objectif est de vous offrir tous les services et le confort nécessaires pour que vous vous sentiez un peu « comme à la maison ». Dans un cadre chaleureux et contemporain, notre équipe est à votre entière disposition pour rendre votre séjour parmi nous des plus agréables. Côté cuisine, Le Bistrot du Pietri vous invite à découvrir une carte fine et variée accompagnée d'une sélection de vins marocains et étrangers. Bienvenue au Pietri Urban hôtel***, l'hôtel idéal pour explorer Rabat et tout ce que la ville a à vous offrir.;, La Brasserie 6 min, le petit beur 4 min, Ty Potes 2 min, La Koutoubia 4 min, Musée Mohammed VI d'Art Moderne et Contemporain 2 min, National Archaeology Museum 4 min, The Currency Museum of the Bank Al-Maghrib 6 min, La Villa des Arts 6 min;", Sale Airport8 km
Voir tous les vols";Français, Anglais, Tchèque;, Internet haut débit gratuit (Wi-Fi), Wi-Fi, Petit-déjeuner inclus, Bar/lounge, Salles de réunion, Concierge, Nettoyage à sec, Service de blanchisserie, Chambres insonorisées, Climatisation, Bureau, Service en chambre, Coffre-fort, Télévision à écran plat, Baignoire/douche, Produits de toilette gratuits, Chambres non-fumeurs, Suites;3,0 5 étoiles
17;Ibis Rabat Agdal;32-34, rue Abderrahmanne El Ghafiki, Rabat 10000 Maroc;null;null;"Découvrez pourquoi l'Ibis Rabat Agdal est l'hôtel préféré des voyageurs visitant Rabat. Offrant un grand confort et un excellent rapport qualité-prix, il propose un cadre un économique et un large éventail de services conçus pour les voyageurs comme vous.
Tous près de monuments populaires comme Royal Palace of Rabat (2,1 km) et Assounna Mosque (2,5 km), l'Ibis Rabat Agdal est le point de départ parfait pour partir à la découverte de Rabat.";, basilico restoconcept 10 min, Babel Rabat 13 min, Moojood - More Than Food 3 min, Le Georges 11 min, Escape Now Rabat 8 min, Valley of the Roses 13 min, Lighthouse Language Center 7 min, Lankey 5 min;", Sale Airport11 km
Voir tous les vols";Français, Anglais, Arabe;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Bar/lounge, Location de vélos, Centre d'affaires avec accès Internet, Salle de réception, Consigne, Change des devises, Chambres insonorisées, Climatisation, Bureau, Service de ménage, Service en chambre, Téléphone, Penderie, Télévision à écran plat, Chambres non-fumeurs;3,0 5 étoiles
18;Rabat Marriott Hotel;Avenue Inaouin Agdal, Rabat 10000 Maroc;null;https://www.tripadvisor.fr/Commerce?p=Marriott_BA&src=225519970&geo=23891194&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=38059&bucket=934872&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=255793839&managed=false&capped=false&gosox=g3xMt9YCHBy3ZUg-YypssegjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZdrKVcakWjO_oLJmNRrBGH3yM_8zTMMOauuOR8hzAxI4&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&dated=true&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=11d4b58d53d0dcb3c3845e164fb41c49a&ba_uid=e9906551-42d4-425b-8894-1b7d6bcd44f2;null;, Le Georges 5 min, Goethe-Institut Rabat 4 min, El Barrio Latino 6 min, La Tradition 5 min, Escape The Room 4 min, Valley of the Roses 5 min, Xtrem 360 1 min, Kounouz Arribat Center 2 min;", Sale Airport10 km
Voir tous les vols";Français, Anglais, Arabe;, Parking gratuit, Wi-Fi public, Piscine extérieure, Centre de remise en forme/Salle de sport, Restaurant, Piscine pour enfants, Salles de conférence, Salles de réunion, Peignoirs, Bureau, Service en chambre, Coffre-fort, Coin salon, Télévision à écran plat, Baignoire/douche, Produits de toilette gratuits, Vue sur la ville, Vue sur la piscine, Chambres non-fumeurs;null
19;Riad Meftaha;15 Rue Iran Quartier Marassa Ocean, Rabat 10000 Maroc;null;null;null;, Dar Rbatia 5 min, Restaurant Dar Naji 6 min, Restaurant de la Liberation 5 min, Le So Lounge 6 min, Ancient Walls Medina Rabat 6 min, Bab Laalou 3 min, Fort Rottembourg 6 min;", Sale Airport8 km
Voir tous les vols";Français, Anglais, Espagnol, Arabe;, Parking gratuit, Internet haut débit gratuit (Wi-Fi), Petit-déjeuner inclus, Randonnée, Jeux de société/puzzles, Chaises hautes disponibles, Navette aéroport, Terrasse sur le toit, Climatisation, Service de ménage, Coffre-fort, Penderie/armoire, Eau en bouteille, Télévision à écran plat, Douche à l'italienne, Produits de toilette gratuits, Suite nuptiale, Chambres non-fumeurs, Suites, Chambres familiales;3,0 5 étoiles
